date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:28	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1690626624-ssl-df	https://hirelanes.netlify.app/robots.txt		(from )
15:58:28	45148/45148	---MCZ	200	added ('OK')	text/html	etag:%22e8e21fa7196f119499ded1c674cd08f1-ssl-df%22	https://hirelanes.netlify.app/	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/index.html	(from )
15:58:29	163860/163860	---MCZ	200	added ('OK')	text/css	etag:%226502a803a4bcb149f37d54bcad6763a1-ssl-df%22	https://hirelanes.netlify.app/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/css/bootstrap.min.css	(from https://hirelanes.netlify.app/)
15:58:29	5754/5754	---MCZ	200	added ('OK')	text/css	etag:%229f1258566e8741e8beb414d6478cbbad-ssl-df%22	https://hirelanes.netlify.app/assets/css/meanmenu.css	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/css/meanmenu.css	(from https://hirelanes.netlify.app/)
15:58:30	3117/3117	---MCZ	200	added ('OK')	text/css	etag:%2237ee88c693a752e7b45e7a78ac026e0b-ssl-df%22	https://hirelanes.netlify.app/assets/css/nice-select.min.css	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/css/nice-select.min.css	(from https://hirelanes.netlify.app/)
15:58:30	66575/66575	---MCZ	200	added ('OK')	text/css	etag:%22c5f807d10a7e1da7a68aa636d68cbdf9-ssl-df%22	https://hirelanes.netlify.app/assets/css/boxicons.min.css	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/css/boxicons.min.css	(from https://hirelanes.netlify.app/)
15:58:31	1603/1603	---M-Z	200	added ('OK')	text/css	etag:%227be056b378c4ee532eed47c2ddfd0c64-ssl-df%22	https://hirelanes.netlify.app/assets/fonts/flaticon.css	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/fonts/flaticon.css	(from https://hirelanes.netlify.app/)
15:58:31	5259/5259	---MCZ	200	added ('OK')	text/css	etag:%22d71eab4f8c4d31ce3995803b4b45cec4-ssl-df%22	https://hirelanes.netlify.app/assets/css/magnific-popup.min.css	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/css/magnific-popup.min.css	(from https://hirelanes.netlify.app/)
15:58:32	3116/3116	---MCZ	200	added ('OK')	text/css	etag:%221a30acd8874ca6aa15e36e5b368b9990-ssl-df%22	https://hirelanes.netlify.app/assets/css/odometer.min.css	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/css/odometer.min.css	(from https://hirelanes.netlify.app/)
15:58:32	3352/3352	---MCZ	200	added ('OK')	text/css	etag:%22568d3dacb7a205cf5bfeb19aed409309-ssl-df%22	https://hirelanes.netlify.app/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/css/owl.carousel.min.css	(from https://hirelanes.netlify.app/)
15:58:33	1013/1013	---M--	200	added ('OK')	text/css	etag:%221476dd3bc3f316818799abecb07b1ea5-ssl%22	https://hirelanes.netlify.app/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/css/owl.theme.default.min.css	(from https://hirelanes.netlify.app/)
15:58:34	71750/71750	---MCZ	200	added ('OK')	text/css	etag:%22bd412ba7a498ecf65dcec6077c5d0cb6-ssl-df%22	https://hirelanes.netlify.app/assets/css/animate.min.css	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/css/animate.min.css	(from https://hirelanes.netlify.app/)
15:58:34	123592/123592	---MCZ	200	added ('OK')	text/css	etag:%2222d9e068875f4f2360cd6a155641822d-ssl-df%22	https://hirelanes.netlify.app/assets/css/style.css	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/css/style.css	(from https://hirelanes.netlify.app/)
15:58:35	31205/31205	---MCZ	200	added ('OK')	text/css	etag:%22c7f0e3e52a5f9d120de8c8c28e03440c-ssl-df%22	https://hirelanes.netlify.app/assets/css/responsive.css	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/css/responsive.css	(from https://hirelanes.netlify.app/)
15:58:36	15105/15105	---MCZ	200	added ('OK')	text/css	etag:%228a96927158eb0e957fc1d62b7d75917a-ssl-df%22	https://hirelanes.netlify.app/assets/css/theme-dark.css	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/css/theme-dark.css	(from https://hirelanes.netlify.app/)
15:58:36	1113/1113	---M--	200	added ('OK')	image/png	etag:%226f41e7fa34e873e3a43b884cdb1c172d-ssl%22	https://hirelanes.netlify.app/assets/img/favicon.png	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/img/favicon.png	(from https://hirelanes.netlify.app/)
15:58:37	3565/3565	---M--	200	added ('OK')	image/png	etag:%221dff4917ff89e4485b571bd5ad693307-ssl%22	https://hirelanes.netlify.app/assets/img/logo-three.png	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/img/logo-three.png	(from https://hirelanes.netlify.app/)
15:58:38	60822/60822	---MCZ	200	added ('OK')	text/html	etag:%22ce8cc7ff43574829911b3663912c5785-ssl-df%22	https://hirelanes.netlify.app/jobs	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/jobs.html	(from https://hirelanes.netlify.app/)
15:58:38	9723/9723	---MCZ	200	added ('OK')	text/html	etag:%225b4238fdb1da388a57077391ec40ad7f-ssl-df%22	https://hirelanes.netlify.app/pricing	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/pricing.html	(from https://hirelanes.netlify.app/)
15:58:39	11093/11093	---MCZ	200	added ('OK')	text/html	etag:%22fe0839ae6da0b72a438ab2c4350a114a-ssl-df%22	https://hirelanes.netlify.app/faq	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/faq.html	(from https://hirelanes.netlify.app/)
15:58:39	9217/9217	---MCZ	200	added ('OK')	text/html	etag:%22343bbb03b83848822a20fe68dab2f07d-ssl-df%22	https://hirelanes.netlify.app/privacy-policy	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/privacy-policy.html	(from https://hirelanes.netlify.app/)
15:58:40	9225/9225	---MCZ	200	added ('OK')	text/html	etag:%22eb993a4c512e0ab37498079929470dee-ssl-df%22	https://hirelanes.netlify.app/terms-conditions	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/terms-conditions.html	(from https://hirelanes.netlify.app/)
15:58:40	9758/9758	---MCZ	200	added ('OK')	text/html	etag:%22a5af972e4d43687bc9d29718ca49de93-ssl-df%22	https://hirelanes.netlify.app/contact	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/contact.html	(from https://hirelanes.netlify.app/)
15:58:41	12041/12041	---MCZ	200	added ('OK')	text/html	etag:%22bf39a2be6dab3f5d998cda736f40c43b-ssl-df%22	https://hirelanes.netlify.app/about	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/about.html	(from https://hirelanes.netlify.app/)
15:58:41	608/608	---M--	200	added ('OK')	image/png	etag:%22da82334065bf4b6a168207ceeb6f2202-ssl%22	https://hirelanes.netlify.app/assets/img/home-one/banner/shape-bottom.png	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/img/home-one/banner/shape-bottom.png	(from https://hirelanes.netlify.app/)
15:58:42	94088/94088	---M--	200	added ('OK')	image/jpeg	etag:%22dec648f370c5349f822d8177b3fc3e86-ssl%22	https://hirelanes.netlify.app/assets/img/home-one/banner/banner-main.jpg	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/img/home-one/banner/banner-main.jpg	(from https://hirelanes.netlify.app/)
15:58:43	12406/12406	---M--	200	added ('OK')	image/png	etag:%22537419bb3a8cc27d0fe5ed866a7669ee-ssl%22	https://hirelanes.netlify.app/assets/img/home-one/banner/banner1.png	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/img/home-one/banner/banner1.png	(from https://hirelanes.netlify.app/)
15:58:43	11113/11113	---M--	200	added ('OK')	image/png	etag:%22018f9ea51bdf74b9d595b1ed127531b9-ssl%22	https://hirelanes.netlify.app/assets/img/home-one/banner/banner3.png	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/img/home-one/banner/banner3.png	(from https://hirelanes.netlify.app/)
15:58:44	763/763	---M--	200	added ('OK')	image/png	etag:%225b656a59c2f450bb289d38a1b8cdb4bb-ssl%22	https://hirelanes.netlify.app/assets/img/home-one/banner/banner4.png	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/img/home-one/banner/banner4.png	(from https://hirelanes.netlify.app/)
15:58:44	682/682	---M--	200	added ('OK')	image/png	etag:%22c2abf79bb5bb31d0421a3022a2c5115c-ssl%22	https://hirelanes.netlify.app/assets/img/home-one/banner/banner5.png	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/img/home-one/banner/banner5.png	(from https://hirelanes.netlify.app/)
15:58:45	759/759	---M--	200	added ('OK')	image/png	etag:%22610224bba05be9a18d9788a3c8090ccf-ssl%22	https://hirelanes.netlify.app/assets/img/home-one/banner/banner6.png	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/img/home-one/banner/banner6.png	(from https://hirelanes.netlify.app/)
15:58:45	12813/12813	---M--	200	added ('OK')	image/png	etag:%2292aad0f3fa3e593c366d3fc6940bdfc8-ssl%22	https://hirelanes.netlify.app/assets/img/home-one/banner/banner7.png	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/img/home-one/banner/banner7.png	(from https://hirelanes.netlify.app/)
15:58:46	636/636	---M--	200	added ('OK')	image/png	etag:%2218f0fd3c151a6ff0f9d5189fe28c1e4d-ssl%22	https://hirelanes.netlify.app/assets/img/home-one/banner/banner8.png	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/img/home-one/banner/banner8.png	(from https://hirelanes.netlify.app/)
15:58:46	9327/9327	---M--	200	added ('OK')	image/png	etag:%2299715ac04826fd2735f90156d79ee7ca-ssl%22	https://hirelanes.netlify.app/assets/img/home-one/banner/banner9.png	C:/My%20Web%20Sites/job.netlify/hirelanes.netlify.app/assets/img/home-one/banner/banner9.png	(from https://hirelanes.netlify.app/)
